lambda,Existing Sum travel distance,New Sum travel distance,Reassigned Clients,Unserved Clients met,Total Distance,k,state
0.01,76017.05651,1749.156735,363.5190788,83.82130569,77766.21325,1,Alabama
0.040625,76017.05651,1749.156735,363.5190788,83.82130569,77766.21325,1,Alabama
0.04828125,76017.05651,1749.156735,363.5190788,83.82130569,77766.21325,1,Alabama
0.0559375,76093.27048,2455.667953,326.2566914,117.7763301,78548.93844,1,Alabama
0.07125,76093.27048,2455.667953,326.2566914,117.7763301,78548.93844,1,Alabama
0.1325,76093.27048,2455.667953,326.2566914,117.7763301,78548.93844,1,Alabama
0.14015625,76150.09196,2636.491807,326.2566914,126.8113774,78786.58377,1,Alabama
0.1478125,76150.09196,2636.491807,326.2566914,126.8113774,78786.58377,1,Alabama
0.163125,76150.09196,2636.491807,326.2566914,126.8113774,78786.58377,1,Alabama
0.19375,76150.09196,2636.491807,326.2566914,126.8113774,78786.58377,1,Alabama
0.255,76150.09196,2636.491807,326.2566914,126.8113774,78786.58377,1,Alabama
0.2703125,76150.09196,2636.491807,326.2566914,126.8113774,78786.58377,1,Alabama
0.27796875,76150.09196,2636.491807,326.2566914,126.8113774,78786.58377,1,Alabama
0.285625,78334.98401,3907.753263,0,267.0739199,82242.73727,1,Alabama
0.31625,78334.98401,3907.753263,0,267.0739199,82242.73727,1,Alabama
0.3775,78334.98401,3907.753263,0,267.0739199,82242.73727,1,Alabama
0.5,78334.98401,3907.753263,0,267.0739199,82242.73727,1,Alabama
0.99,78334.98401,3907.753263,0,267.0739199,82242.73727,1,Alabama
0.01,73762.20951,1835.036774,567.446785,87.42728802,75597.24629,2,Alabama
0.040625,73762.20951,1835.036774,567.446785,87.42728802,75597.24629,2,Alabama
0.04828125,73762.20951,1835.036774,567.446785,87.42728802,75597.24629,2,Alabama
0.0559375,73838.42348,2541.547992,530.1843975,121.3823124,76379.97148,2,Alabama
0.07125,73838.42348,2541.547992,530.1843975,121.3823124,76379.97148,2,Alabama
0.1325,73838.42348,2541.547992,530.1843975,121.3823124,76379.97148,2,Alabama
0.14015625,73895.24496,2722.371846,530.1843975,130.4173598,76617.6168,2,Alabama
0.1478125,73895.24496,2722.371846,530.1843975,130.4173598,76617.6168,2,Alabama
0.163125,73895.24496,2722.371846,530.1843975,130.4173598,76617.6168,2,Alabama
0.17078125,73895.24496,2722.371846,530.1843975,130.4173598,76617.6168,2,Alabama
0.1784375,76150.09196,6544.24507,326.2566914,393.8852973,82694.33703,2,Alabama
0.19375,76150.09196,6544.24507,326.2566914,393.8852973,82694.33703,2,Alabama
0.255,76150.09196,6544.24507,326.2566914,393.8852973,82694.33703,2,Alabama
0.31625,76150.09196,6544.24507,326.2566914,393.8852973,82694.33703,2,Alabama
0.32390625,78334.98401,7883.681241,0,512.6203876,86218.66525,2,Alabama
0.3315625,78334.98401,7883.681241,0,512.6203876,86218.66525,2,Alabama
0.346875,78334.98401,7883.681241,0,512.6203876,86218.66525,2,Alabama
0.3775,78334.98401,7883.681241,0,512.6203876,86218.66525,2,Alabama
0.5,78334.98401,7883.681241,0,512.6203876,86218.66525,2,Alabama
0.99,78334.98401,7883.681241,0,512.6203876,86218.66525,2,Alabama
0.01,71889.18972,1989.796594,947.5204431,93.75805094,73878.98631,3,Alabama
0.040625,71889.18972,1989.796594,947.5204431,93.75805094,73878.98631,3,Alabama
0.04828125,71889.18972,1989.796594,947.5204431,93.75805094,73878.98631,3,Alabama
0.0559375,71965.40369,2696.307812,910.2580557,127.7130753,74661.7115,3,Alabama
0.07125,71965.40369,2696.307812,910.2580557,127.7130753,74661.7115,3,Alabama
0.07890625,71965.40369,2696.307812,910.2580557,127.7130753,74661.7115,3,Alabama
0.0865625,71965.27108,2696.307812,924.8771052,127.7130753,74661.57889,3,Alabama
0.09421875,71965.27108,2696.307812,924.8771052,127.7130753,74661.57889,3,Alabama
0.101875,72355.56634,4200.350834,650.5785847,215.2094366,76555.91718,3,Alabama
0.1325,72355.56634,4200.350834,650.5785847,215.2094366,76555.91718,3,Alabama
0.14015625,72412.38782,4381.174688,650.5785847,224.244484,76793.56251,3,Alabama
0.1478125,72412.38782,4381.174688,650.5785847,224.244484,76793.56251,3,Alabama
0.163125,72412.38782,4381.174688,650.5785847,224.244484,76793.56251,3,Alabama
0.17078125,72412.38782,4381.174688,650.5785847,224.244484,76793.56251,3,Alabama
0.1784375,74667.23482,8203.047912,446.6508785,487.7124215,82870.28273,3,Alabama
0.19375,74667.23482,8203.047912,446.6508785,487.7124215,82870.28273,3,Alabama
0.20140625,76150.09196,10520.17305,326.2566914,639.4317651,86670.26501,3,Alabama
0.2090625,76150.09196,10520.17305,326.2566914,639.4317651,86670.26501,3,Alabama
0.224375,76150.09196,10520.17305,326.2566914,639.4317651,86670.26501,3,Alabama
0.255,76150.09196,10520.17305,326.2566914,639.4317651,86670.26501,3,Alabama
0.5,76150.09196,10520.17305,326.2566914,639.4317651,86670.26501,3,Alabama
0.530625,76150.09196,10520.17305,326.2566914,639.4317651,86670.26501,3,Alabama
0.5459375,76150.09196,10520.17305,326.2566914,639.4317651,86670.26501,3,Alabama
0.55359375,77554.76228,9624.018067,129.6490167,668.4791432,87178.78035,3,Alabama
0.56125,77554.76228,9624.018067,129.6490167,668.4791432,87178.78035,3,Alabama
0.6225,77554.76228,9624.018067,129.6490167,668.4791432,87178.78035,3,Alabama
0.745,77554.76228,9624.018067,129.6490167,668.4791432,87178.78035,3,Alabama
0.8675,77554.76228,9624.018067,129.6490167,668.4791432,87178.78035,3,Alabama
0.87515625,77554.76228,9624.018067,129.6490167,668.4791432,87178.78035,3,Alabama
0.8828125,77674.1581,10138.51021,104.5187808,668.8752492,87812.66831,3,Alabama
0.898125,77674.1581,10138.51021,104.5187808,668.8752492,87812.66831,3,Alabama
0.92875,77674.1581,10138.51021,104.5187808,668.8752492,87812.66831,3,Alabama
