State,k,lambda,Clients,Longitude,Latitude
Alabama,1,1,1134.907359709124,33.450188,-86.85057900000001
Alabama,1,1,658.2321374445017,33.58206789,-86.6328892
Alabama,1,1,149.07776883771618,32.812284999999996,-86.579141
Alabama,1,1,295.8700334926459,34.20508,-86.87515
Alabama,1,1,419.0797131242036,34.02090813,-86.01748549999999
Alabama,1,1,82.09042757050905,30.5,-88.333
Alabama,1,1,89.6092802440509,34.11818082,-87.98941598
Alabama,1,1,721.9448358421279,34.69899,-86.602799
Alabama,1,1,196.22130037859438,34.87464,-86.595824
Alabama,1,1,206.6905583917076,33.87343891,-87.26771308
Alabama,1,1,174.1770841618867,30.62764152,-88.14996998
Alabama,1,1,232.41282849576965,30.62938153,-88.08882719
Alabama,1,1,439.24547021572647,30.67229455,-88.14453376
Alabama,1,1,688.93966979531,32.36797017,-86.20487220000001
Alabama,1,1,408.4948201573684,31.238965000000004,-85.541269
Alabama,1,1,348.54284611578345,33.61501618,-85.83390782
Alabama,1,1,385.3920794391168,33.213107,-86.787837
Alabama,1,1,362.00312806331965,34.76619551,-87.67658655
Alabama,1,1,100.0686585205379,34.87276461,-85.80957702
Alabama,2,1,1134.907359709124,33.450188,-86.85057900000001
Alabama,2,1,658.2321374445017,33.58206789,-86.6328892
Alabama,2,1,149.07776883771618,32.812284999999996,-86.579141
Alabama,2,1,295.8700334926459,34.20508,-86.87515
Alabama,2,1,419.0797131242036,34.02090813,-86.01748549999999
Alabama,2,1,82.09042757050905,30.5,-88.333
Alabama,2,1,89.6092802440509,34.11818082,-87.98941598
Alabama,2,1,721.9448358421279,34.69899,-86.602799
Alabama,2,1,196.22130037859438,34.87464,-86.595824
Alabama,2,1,206.6905583917076,33.87343891,-87.26771308
Alabama,2,1,174.1770841618867,30.62764152,-88.14996998
Alabama,2,1,232.41282849576965,30.62938153,-88.08882719
Alabama,2,1,439.24547021572647,30.67229455,-88.14453376
Alabama,2,1,688.93966979531,32.36797017,-86.20487220000001
Alabama,2,1,408.4948201573684,31.238965000000004,-85.541269
Alabama,2,1,348.54284611578345,33.61501618,-85.83390782
Alabama,2,1,385.3920794391168,33.213107,-86.787837
Alabama,2,1,362.00312806331965,34.76619551,-87.67658655
Alabama,2,1,100.0686585205379,34.87276461,-85.80957702
Alabama,3,1,1134.907359709124,33.450188,-86.85057900000001
Alabama,3,1,658.2321374445017,33.58206789,-86.6328892
