State,k,lambda,Clients,Longitude,Latitude
Alabama,1,1,267.0739198547039,33.1420294,-87.3825437
Alabama,2,1,245.54646775435228,32.5196744,-85.282319
Alabama,2,1,267.0739198547039,33.1420294,-87.3825437
Alabama,3,1,245.54646775435228,32.5196744,-85.282319
Alabama,3,1,267.0739198547039,33.1420294,-87.3825437
Alabama,3,1,156.2548616127418,34.70047879999999,-86.99273249999999
Alabama,4,1,245.54646775435228,32.5196744,-85.282319
Alabama,4,1,267.0739198547039,33.1420294,-87.3825437
Alabama,4,1,125.41876642663308,30.4324484,-87.67901390000002
Alabama,4,1,165.29601911740085,34.70047879999999,-86.99273249999999
Alabama,5,1,245.54646775435228,32.5196744,-85.282319
Alabama,5,1,267.0739198547039,33.1420294,-87.3825437
Alabama,5,1,125.41876642663308,30.4324484,-87.67901390000002
Alabama,5,1,156.2548616127418,34.70047879999999,-86.99273249999999
Alabama,5,1,93.00675570106812,34.2581219,-86.3955886
Alabama,6,1,245.54646775435228,32.5196744,-85.282319
Alabama,6,1,267.0739198547039,33.1420294,-87.3825437
Alabama,6,1,125.41876642663308,30.4324484,-87.67901390000002
Alabama,6,1,92.77737482496421,33.3761817,-86.4351806
Alabama,6,1,156.2548616127418,34.70047879999999,-86.99273249999999
Alabama,6,1,93.00675570106812,34.2581219,-86.3955886
Alabama,7,1,75.66104237457436,34.359447700000004,-85.80117759999999
Alabama,7,1,245.54646775435228,32.5196744,-85.282319
Alabama,7,1,267.0739198547039,33.1420294,-87.3825437
Alabama,7,1,125.41876642663308,30.4324484,-87.67901390000002
Alabama,7,1,92.77737482496421,33.3761817,-86.4351806
Alabama,7,1,156.2548616127418,34.70047879999999,-86.99273249999999
Alabama,7,1,93.00675570106812,34.2581219,-86.3955886
Alabama,8,1,75.66104237457436,34.359447700000004,-85.80117759999999
Alabama,8,1,70.81916709078091,32.8728739,-85.8223734
Alabama,8,1,125.41876642663308,30.4896994,-87.67672990000001
Alabama,8,1,244.75505012858397,32.5985333,-85.1564072
Alabama,8,1,267.0739198547039,33.1420294,-87.3825437
Alabama,8,1,92.77737482496421,33.3761817,-86.4351806
Alabama,8,1,156.2548616127418,34.70047879999999,-86.99273249999999
Alabama,8,1,93.00675570106812,34.2581219,-86.3955886
Alabama,9,1,75.66104237457436,34.359447700000004,-85.80117759999999
Alabama,9,1,70.81916709078091,32.8728739,-85.8223734
Alabama,9,1,244.75505012858397,32.5985333,-85.1564072
Alabama,9,1,267.0739198547039,33.1420294,-87.3825437
Alabama,9,1,125.41876642663308,30.4324484,-87.67901390000002
Alabama,9,1,92.77737482496421,33.3761817,-86.4351806
Alabama,9,1,156.2548616127418,34.70047879999999,-86.99273249999999
Alabama,9,1,64.77989880399748,31.5629467,-86.0563149
Alabama,9,1,93.00675570106812,34.2581219,-86.3955886
Alabama,10,1,75.66104237457436,34.359447700000004,-85.80117759999999
Alabama,10,1,70.81916709078091,32.8728739,-85.8223734
Alabama,10,1,244.75505012858397,32.5985333,-85.1564072
Alabama,10,1,267.0739198547039,33.1420294,-87.3825437
Alabama,10,1,56.179214760750284,32.4240901,-87.0568535
Alabama,10,1,125.41876642663308,30.4324484,-87.67901390000002
Alabama,10,1,92.77737482496421,33.3761817,-86.4351806
Alabama,10,1,156.2548616127418,34.70047879999999,-86.99273249999999
Alabama,10,1,64.77989880399748,31.5629467,-86.0563149
Alabama,10,1,93.00675570106812,34.2581219,-86.3955886
Alabama,11,1,50.84168803540481,30.9478929,-87.6787306
Alabama,11,1,75.66104237457436,34.359447700000004,-85.80117759999999
Alabama,11,1,70.81916709078091,32.8728739,-85.8223734
Alabama,11,1,244.75505012858397,32.5985333,-85.1564072
Alabama,11,1,267.0739198547039,33.1420294,-87.3825437
Alabama,11,1,56.179214760750284,32.4240901,-87.0568535
Alabama,11,1,121.06503162863382,30.3798842,-87.6650569
Alabama,11,1,92.77737482496421,33.3761817,-86.4351806
Alabama,11,1,156.2548616127418,34.70047879999999,-86.99273249999999
Alabama,11,1,64.77989880399748,31.5629467,-86.0563149
Alabama,11,1,93.00675570106812,34.2581219,-86.3955886
Alabama,12,1,50.84168803540481,30.9478929,-87.6787306
Alabama,12,1,75.66104237457436,34.359447700000004,-85.80117759999999
Alabama,12,1,70.30616712277185,33.740998,-86.65012540000001
Alabama,12,1,70.81916709078091,32.8728739,-85.8223734
Alabama,12,1,244.75505012858397,32.5985333,-85.1564072
Alabama,12,1,56.179214760750284,32.3983329,-87.0514311
Alabama,12,1,267.0739198547039,33.1420294,-87.3825437
Alabama,12,1,121.06503162863382,30.3798842,-87.6650569
Alabama,12,1,92.77737482496421,33.3761817,-86.4351806
Alabama,12,1,89.94888314419036,34.3314599,-86.4419583
Alabama,12,1,156.2548616127418,34.70047879999999,-86.99273249999999
Alabama,12,1,64.77989880399748,31.5629467,-86.0563149
Alabama,13,1,50.84168803540481,30.9478929,-87.6787306
